id	happy	year	age	sex	marital	degree	finrela	health	wtssall
176.0	pretty happy	1972.0	26.0	male	married	bachelor	average	excellent	0.8893
177.0	pretty happy	1972.0	39.0	female	divorced	high school	average	excellent	0.4446
178.0	not too happy	1972.0	19.0	male	never married	lt high school	below average	good	0.8893
179.0	very happy	1972.0	26.0	female	married	bachelor	below average	good	0.8893
180.0	pretty happy	1972.0	21.0	female	never married	high school	average	fair	0.4446
181.0	very happy	1972.0	45.0	female	married	lt high school	average	fair	1.3339
182.0	pretty happy	1972.0	27.0	female	married	high school	far below average	good	0.8893
183.0	very happy	1972.0	76.0	male	widowed	lt high school	below average	excellent	0.4446
184.0	pretty happy	1972.0	63.0	female	widowed	lt high school	below average	good	1.3339
185.0	pretty happy	1972.0	52.0	male	married	lt high school	average	good	1.3339
186.0	pretty happy	1972.0	65.0	male	married	lt high school	average	good	1.3339
187.0	not too happy	1972.0	59.0	male	married	lt high school	far below average	fair	2.2232
188.0	pretty happy	1972.0	26.0	male	never married	high school	above average	excellent	1.3339
189.0	very happy	1972.0	41.0	female	married	bachelor	far above average	good	0.8893
190.0	pretty happy	1972.0	56.0	male	married	graduate	above average	excellent	0.8893
191.0	not too happy	1972.0	62.0	male	married	high school	above average	excellent	0.8893
192.0	very happy	1972.0	29.0	male	married	graduate	above average	excellent	0.8893
193.0	very happy	1972.0	25.0	female	married	bachelor	average	excellent	0.8893
194.0	very happy	1972.0	41.0	female	married	high school	above average	good	0.8893
195.0	pretty happy	1972.0	21.0	female	never married	lt high school	average	good	1.3339
196.0	pretty happy	1972.0	49.0	female	divorced	high school	average	good	0.8893
197.0	very happy	1972.0	38.0	male	married	lt high school	above average	excellent	0.8893
198.0	very happy	1972.0	50.0	male	married	high school	average	excellent	0.8893
199.0	pretty happy	1972.0	43.0	male	married	high school	average	excellent	0.8893
200.0	pretty happy	1972.0	32.0	male	married	high school	average	excellent	0.8893
201.0	pretty happy	1972.0	55.0	female	divorced	high school	average	excellent	0.4446
202.0	very happy	1972.0	27.0	female	married	junior college	average	good	0.8893
203.0	pretty happy	1972.0	56.0	male	married	high school	above average	fair	1.3339
204.0	very happy	1972.0	48.0	female	married	lt high school	average	excellent	0.8893
205.0	pretty happy	1972.0	56.0	male	married	lt high school	below average	good	1.3339
206.0	very happy	1972.0	44.0	female	married	lt high school	average	poor	0.8893
207.0	pretty happy	1972.0	25.0	female	divorced	lt high school	below average	fair	0.4446
208.0	pretty happy	1972.0	32.0	male	married	lt high school	average	good	0.8893
209.0	very happy	1972.0	33.0	female	married	high school	above average	excellent	0.8893
210.0	very happy	1972.0	48.0	male	married	lt high school	average	excellent	0.8893
211.0	pretty happy	1972.0	45.0	male	married	high school	below average	excellent	0.8893
212.0	not too happy	1972.0	45.0	female	widowed	lt high school	below average	fair	0.8893
213.0	very happy	1972.0	72.0	male	married	lt high school	average	fair	0.8893
214.0	pretty happy	1972.0	45.0	female	separated	lt high school	below average	fair	0.8893
215.0	not too happy	1972.0	70.0	female	separated	lt high school	below average	fair	0.8893
216.0	pretty happy	1972.0	31.0	female	married	high school	average	good	0.8893
217.0	pretty happy	1972.0	20.0	male	never married	high school	below average	good	1.3339
218.0	pretty happy	1972.0	22.0	female	separated	lt high school	below average	good	0.4446
219.0	pretty happy	1972.0	63.0	male	married	lt high school	below average	poor	0.8893
220.0	pretty happy	1972.0	70.0	male	married	lt high school	average	fair	0.8893
221.0	very happy	1972.0	68.0	male	married	lt high school	average	good	0.8893
222.0	very happy	1972.0	43.0	female	married	high school	average	excellent	0.8893
223.0	pretty happy	1972.0	53.0	female	married	graduate	average	excellent	0.8893
224.0	pretty happy	1972.0	44.0	female	married	high school	average	good	0.8893
225.0	pretty happy	1972.0	37.0	female	married	high school	average	excellent	0.8893
226.0	pretty happy	1972.0	55.0	male	married	high school	average	good	2.6679
227.0	very happy	1972.0	52.0	male	married	high school	below average	good	0.8893
228.0	pretty happy	1972.0	64.0	male	married	lt high school	above average	excellent	0.8893
229.0	pretty happy	1972.0		male	married	high school	average	excellent	0.8893
230.0	pretty happy	1972.0	64.0	male	never married	lt high school	average	good	0.8893
231.0	pretty happy	1972.0	27.0	female	never married	bachelor	average	excellent	1.3339
232.0	very happy	1972.0	28.0	male	married	high school	average	excellent	0.8893
233.0	pretty happy	1972.0	22.0	male	never married	high school	below average	good	1.7786
234.0	very happy	1972.0	61.0	female	married	high school	above average	fair	0.8893
235.0	not too happy	1972.0	82.0	female	widowed	high school	average	good	0.4446
236.0	very happy	1972.0	22.0	male	never married	high school	below average	good	1.3339
237.0	very happy	1972.0	30.0	female	married	lt high school	above average	fair	0.8893
238.0	very happy	1972.0	29.0	female	married	high school	average	excellent	0.8893
239.0	very happy	1972.0	60.0	male	married	lt high school	below average	fair	0.8893
240.0	very happy	1972.0	39.0	female	married	lt high school	average	good	0.8893
241.0	pretty happy	1972.0	21.0	female	married	lt high school	far below average	good	0.8893
242.0	pretty happy	1972.0	56.0	male	married	lt high school	average	fair	1.7786
243.0	pretty happy	1972.0	72.0	male	married	lt high school	average	good	0.8893
244.0	pretty happy	1972.0	61.0	male	married	lt high school	below average	poor	0.8893
245.0	pretty happy	1972.0	71.0	male	divorced	graduate	above average	excellent	0.4446
246.0	not too happy	1972.0	56.0	female	married	lt high school	below average	poor	0.8893
247.0	very happy	1972.0	71.0	female	married	lt high school	average	excellent	0.8893
248.0	very happy	1972.0	48.0	male	married	high school	above average	excellent	0.8893
249.0	very happy	1972.0	43.0	female	married	high school	above average	fair	0.8893
250.0	very happy	1972.0	61.0	female	never married	high school	average	good	0.4446
251.0	pretty happy	1972.0	70.0	male	married	high school	average	excellent	0.8893
252.0	very happy	1972.0	48.0	female	separated	lt high school	below average	good	0.4446
253.0	very happy	1972.0	34.0	female	married	high school	average	good	0.8893
254.0	not too happy	1972.0	19.0	male	never married	high school	below average	good	1.7786
255.0	very happy	1972.0	52.0	female	married	lt high school	average	fair	0.8893
256.0	not too happy	1972.0	30.0	male	married	high school	above average	excellent	0.8893
257.0	pretty happy	1972.0	60.0	male	married	high school	above average	good	1.3339
258.0	pretty happy	1972.0	50.0	male	married	bachelor	average	good	0.8893
259.0	pretty happy	1972.0	47.0	female	widowed	high school	average	excellent	1.3339
260.0	pretty happy	1972.0	50.0	female	married	lt high school	average	poor	0.8893
261.0	pretty happy	1972.0	68.0	female	married	lt high school	below average	good	0.8893
262.0	very happy	1972.0	50.0	male	divorced	high school	above average	excellent	0.4446
263.0	not too happy	1972.0	21.0	male	separated	lt high school	far below average	fair	0.4446
264.0	pretty happy	1972.0	72.0	female	married	lt high school	far below average	good	0.8893
265.0	not too happy	1972.0	52.0	male	married	high school	below average	good	0.8893
266.0	very happy	1972.0	32.0	female	married	high school	above average	good	1.3339
267.0	very happy	1972.0	52.0	male	married	high school	above average	good	0.8893
268.0	very happy	1972.0	60.0	female	never married	high school	average	fair	0.8893
269.0	pretty happy	1972.0	32.0	male	married	lt high school	below average	good	0.8893
270.0	pretty happy	1972.0	60.0	female	widowed	lt high school	below average	good	0.4446
271.0	pretty happy	1972.0	80.0	female	widowed	lt high school	average	fair	0.4446
272.0	pretty happy	1972.0	58.0	male	married	lt high school	average	good	0.8893
273.0	pretty happy	1972.0	36.0	female	married	high school	average	good	0.8893
274.0	pretty happy	1972.0	31.0	female	married	high school	average	good	0.8893
275.0	very happy	1972.0	30.0	male	married	bachelor	average	good	0.8893
276.0	very happy	1972.0	63.0	male	married	high school	above average	good	0.8893
277.0	pretty happy	1972.0	34.0	male	married	high school	average	good	0.8893
278.0	pretty happy	1972.0	29.0	female	married	high school	above average	good	0.8893
279.0	not too happy	1972.0	36.0	female	married	lt high school	below average	fair	0.8893
280.0	pretty happy	1972.0	39.0	female	married	high school	average	excellent	0.8893
281.0	not too happy	1972.0	73.0	male	married	lt high school	below average	poor	1.3339
282.0	not too happy	1972.0	38.0	male	married	lt high school	average	excellent	0.8893
283.0	pretty happy	1972.0	55.0	male	married	high school	below average	good	1.7786
284.0	pretty happy	1972.0	30.0	male	married	high school	average	good	0.8893
285.0	very happy	1972.0	44.0	female	married	high school	below average	fair	1.3339
286.0	pretty happy	1972.0	43.0	female	married	lt high school	average	good	0.8893
287.0	not too happy	1972.0	38.0	male	married	lt high school	above average	excellent	0.8893
288.0	pretty happy	1972.0	44.0	female	married	high school	average	excellent	1.3339
289.0	pretty happy	1972.0	75.0	female	widowed	lt high school	below average	good	0.4446
290.0	very happy	1972.0	43.0	male	married	graduate	far above average	excellent	0.8893
291.0	pretty happy	1972.0	43.0	female	married	lt high school	average	good	1.3339
292.0	very happy	1972.0	27.0	male	married	high school	average	good	0.8893
293.0	very happy	1972.0	58.0	male	married	lt high school	average	fair	1.3339
294.0	very happy	1972.0	45.0	male	married	high school	average	good	2.2232
295.0	very happy	1972.0	31.0	male	married	high school	average	excellent	0.8893
296.0	very happy	1972.0	23.0	female	married	high school	average	good	0.8893
297.0	very happy	1972.0	69.0	male	widowed	lt high school	average	good	0.4446
298.0	pretty happy	1972.0	35.0	female	separated	lt high school	average	good	0.4446
299.0	pretty happy	1972.0	43.0	female	widowed	high school	average	good	0.4446
300.0	not too happy	1972.0	56.0	female	married	lt high school	below average	good	0.8893
301.0	not too happy	1972.0	36.0	female	separated	high school	below average	fair	0.4446
302.0	very happy	1972.0	47.0	female	married	lt high school	average	excellent	2.2232
303.0	pretty happy	1972.0	29.0	male	married	high school	below average	good	0.8893
304.0	pretty happy	1972.0	60.0	male	married	high school	average	good	0.8893
305.0	very happy	1972.0	37.0	female	married	lt high school	average	good	0.8893
306.0	very happy	1972.0	20.0	male	married	high school	average	good	0.8893
307.0	pretty happy	1972.0	55.0	female	married	lt high school	average	fair	1.3339
308.0	pretty happy	1972.0	71.0	female	widowed	lt high school	far below average	poor	0.8893
309.0	pretty happy	1972.0	30.0	male	married	high school	average	good	0.8893
310.0	pretty happy	1972.0	59.0	female	married	lt high school	far above average	poor	0.8893
311.0	very happy	1972.0	42.0	female	separated	high school	above average	excellent	0.8893
312.0	very happy	1972.0	55.0	female	separated	high school	average	fair	0.8893
313.0	not too happy	1972.0	24.0	male	married	high school	average	fair	0.8893
314.0	not too happy	1972.0	30.0	male	separated	lt high school	far above average	good	0.8893
315.0	very happy	1972.0	70.0	male	never married	lt high school	below average	good	0.4446
316.0	pretty happy	1972.0	43.0	female	widowed	lt high school	average	fair	0.4446
317.0	not too happy	1972.0	45.0	male	married	lt high school	average	good	0.8893
318.0	pretty happy	1972.0	25.0	male	married	bachelor	average	good	0.8893
319.0	not too happy	1972.0	37.0	female	divorced	lt high school	far below average	excellent	0.4446
320.0	pretty happy	1972.0	22.0	male	never married	high school	above average	good	1.3339
321.0	not too happy	1972.0	27.0	female	never married	lt high school	below average	excellent	1.7786
322.0	pretty happy	1972.0	28.0	female	never married	graduate	average	excellent	0.8893
323.0	very happy	1972.0	42.0	male	divorced	high school	above average	excellent	0.8893
324.0	pretty happy	1972.0	42.0	female	never married	lt high school	below average	excellent	0.8893
325.0	pretty happy	1972.0	30.0	male	married	high school	above average	excellent	0.8893
326.0	pretty happy	1972.0	40.0	female	married	high school	above average	good	1.3339
327.0	very happy	1972.0	37.0	male	married	graduate	above average	good	0.8893
328.0	pretty happy	1972.0	24.0	female	never married	bachelor	above average	excellent	1.7786
329.0	very happy	1972.0	46.0	male	married	high school	above average	excellent	0.8893
330.0	pretty happy	1972.0	53.0	female	married	high school	average	good	1.3339
331.0	pretty happy	1972.0	64.0	male	married	high school	below average	fair	1.3339
332.0	very happy	1972.0	20.0	female	married	high school	above average	excellent	0.8893
333.0	very happy	1972.0	60.0	male	married	lt high school	average	good	0.8893
334.0	pretty happy	1972.0	33.0	male	married	bachelor	above average	excellent	0.8893
335.0	pretty happy	1972.0	70.0	female	never married	bachelor	average	good	0.8893
336.0	very happy	1972.0	60.0	male	married	lt high school	average	fair	0.8893
337.0	very happy	1972.0	26.0	female	married	lt high school	average	excellent	0.8893
338.0	not too happy	1972.0	74.0	female	widowed	lt high school	below average	fair	1.3339
339.0	very happy	1972.0	33.0	female	married	lt high school	average	good	0.8893
340.0	pretty happy	1972.0	23.0	female	married	lt high school	below average	fair	0.8893
341.0	pretty happy	1972.0	19.0	male	never married	lt high school	average	good	0.8893
342.0	not too happy	1972.0	59.0	female	married	lt high school	below average	good	0.8893
343.0	pretty happy	1972.0	70.0	female	married	lt high school	average	fair	0.8893
344.0	pretty happy	1972.0	52.0	male	married	lt high school	below average	fair	1.7786
345.0	not too happy	1972.0		female	widowed	lt high school	far below average	poor	0.4446
346.0	very happy	1972.0	75.0	male	widowed	lt high school	average	poor	0.4446
347.0	very happy	1972.0	49.0	female	married	lt high school	above average	fair	0.8893
348.0	pretty happy	1972.0	49.0	male	married	lt high school	below average	good	0.8893
349.0	pretty happy	1972.0	46.0	male	married	lt high school	average	good	0.8893
350.0	pretty happy	1972.0	45.0	female	widowed	high school	average	excellent	0.4446
351.0	pretty happy	1972.0	28.0	female	never married	bachelor	average	excellent	0.4446
352.0	not too happy	1972.0	23.0	male	married	high school	average	fair	1.3339
353.0	pretty happy	1972.0	64.0	male	married	high school	average	good	0.8893
354.0	pretty happy	1972.0	33.0	female	married	high school	below average	good	0.8893
355.0	very happy	1972.0	69.0	female	married	lt high school	above average	fair	0.8893
356.0	pretty happy	1972.0	72.0	male	married	lt high school	average	excellent	1.3339
357.0	pretty happy	1972.0	59.0	male	married	lt high school	average	good	0.8893
358.0	very happy	1972.0	69.0	female	married	lt high school	average	good	0.8893
359.0	pretty happy	1972.0	58.0	female	married	lt high school	average	good	0.8893
360.0	pretty happy	1972.0	53.0	male	divorced	lt high school	below average	fair	1.7786
361.0	very happy	1972.0	62.0	male	widowed	lt high school	average	fair	0.4446
362.0	pretty happy	1972.0	58.0	male	married	lt high school	below average	good	0.8893
363.0	pretty happy	1972.0	32.0	female	married	high school	below average	good	0.8893
364.0	pretty happy	1972.0	58.0	female	married	high school	average	fair	0.8893
365.0	pretty happy	1972.0	70.0	female	married	high school	average	fair	0.8893
366.0	pretty happy	1972.0	69.0	male	married	lt high school	below average	good	0.8893
367.0	pretty happy	1972.0	36.0	male	married	lt high school	above average	excellent	0.8893
368.0	pretty happy	1972.0	47.0	male	married	lt high school	average	fair	0.8893
369.0	pretty happy	1972.0	31.0	male	married	lt high school	average	excellent	0.8893
370.0	pretty happy	1972.0	81.0	female	widowed	lt high school	below average	fair	1.7786
371.0	pretty happy	1972.0	24.0	male	married	high school	average	good	0.8893
372.0	pretty happy	1972.0	51.0	female	married	high school	average	fair	1.7786
373.0	not too happy	1972.0	69.0	female	widowed	lt high school	far below average	poor	0.4446
374.0	very happy	1972.0	30.0	female	married	high school	below average	good	0.8893
375.0	pretty happy	1972.0	69.0	male	never married	lt high school	far below average	fair	1.7786
376.0	not too happy	1972.0	45.0	male	married	lt high school	average	fair	1.3339
