company	bean_origin_detailed	REF	review_date	cocoa_percent	location	rating	bean_type	bean_origin
Amazona	Bellavista Gran Pajeten, San Martin	1145	2013	73%	Peru	3.5	Trinitario	Peru
Ambrosia	Belize	1494	2015	64%	Canada	3.0	Trinitario	Belize
Ambrosia	Madagascar	1494	2015	66%	Canada	3.25	Trinitario	Madagascar
Ambrosia	Dominican Republic	1498	2015	75%	Canada	3.25		Dominican Republic
Ambrosia	Papua New Guinea	1498	2015	63%	Canada	3.25		Papua New Guinea
Ambrosia	Venezuela	1498	2015	70%	Canada	3.25		Venezuela
Ambrosia	Peru	1498	2015	68%	Canada	3.5		Peru
Anahata	Elvesia	1259	2014	75%	U.S.A.	3.0		Dominican Republic
Animas	Alto Beni	1852	2016	75%	U.S.A.	3.5		Bolivia
Arete	San Juan	1724	2016	70%	U.S.A.	3.5	Trinitario	Trinidad
Arete	Kokoa Kamili	1724	2016	70%	U.S.A.	3.75		Tanzania
Arete	Tien Giang	1900	2016	73%	U.S.A.	3.5	Trinitario	Vietnam
Arete	Hacienda Victoria	1904	2016	70%	U.S.A.	3.25		Ecuador
Arete	Costa Esmeraldas	1904	2016	70%	U.S.A.	3.25		Ecuador
Arete	Lachua	1904	2016	70%	U.S.A.	3.5		Guatemala
Arete	Rugoso	1904	2016	70%	U.S.A.	3.75		Nicaragua
Arete	La Masica, FHIA	1908	2016	70%	U.S.A.	3.5		Honduras
Arete	Coto Brus, Terciopelo	1908	2016	70%	U.S.A.	4.0		Costa Rica
Arete	Phantom	1924	2016	70%	U.S.A.	4.0	Forastero (Nacional)	Peru
Arete	Elvesia	1928	2016	70%	U.S.A.	3.75		Dominican Republic
Arete	Matasawalevu	1928	2016	70%	U.S.A.	3.25		Fiji
Arete	Lam Dong	1928	2016	73%	U.S.A.	3.25		Vietnam
Arete	Fazenda Camboa	1534	2015	70%	U.S.A.	3.5		Brazil
Arete	Nacional	1534	2015	68%	U.S.A.	3.5	Forastero (Nacional)	Peru
Arete	Puerto Quito, heirloom	1534	2015	70%	U.S.A.	3.75	Forastero (Nacional)	Ecuador
Arete	Oko Caribe	1598	2015	70%	U.S.A.	3.5		Domincan Republic
Arete	Maya Mountain	1598	2015	70%	U.S.A.	3.75	Trinitario	Belize
Arete	Chuno	1598	2015	70%	U.S.A.	4.0	Criollo, Trinitario	Nicaragua
Arete	Fazenda Camboa	1602	2015	75%	U.S.A.	2.75		Brazil
Arete	Guatemala	1602	2015	70%	U.S.A.	3.25		Guatemala
Arete	Camino Verde	1602	2015	75%	U.S.A.	3.5		Ecuador
Askinosie	Mababa	1780	2016	68%	U.S.A.	3.75	Trinitario	Tanzania
Askinosie	Tenende, Uwate	647	2011	72%	U.S.A.	3.75	Trinitario	Tanzania
Askinosie	Cortes	661	2011	70%	U.S.A.	3.75	Trinitario	Honduras
Askinosie	Davao	331	2009	77%	U.S.A.	3.75	Trinitario	Philippines
Askinosie	Xoconusco	141	2007	75%	U.S.A.	2.5	Trinitario	Mexico
Askinosie	San Jose del Tambo	175	2007	70%	U.S.A.	3.0	Forastero (Arriba)	Ecuador
Bakau	Bambamarca, 2015	1454	2015	70%	Peru	2.75		Peru
Bakau	Huallabamba, 2015	1454	2015	70%	Peru	3.5		Peru
Bar Au Chocolat	Bahia	1554	2015	70%	U.S.A.	3.5		Brazil
Bar Au Chocolat	Maranon Canyon	1295	2014	70%	U.S.A.	4.0	Forastero (Nacional)	Peru
Bar Au Chocolat	Duarte Province	983	2012	70%	U.S.A.	3.25		Dominican Republic
Bar Au Chocolat	Chiapas	983	2012	70%	U.S.A.	3.5		Mexico
Bar Au Chocolat	Sambirano	983	2012	70%	U.S.A.	3.75	Trinitario	Madagascar
Batch	Dominican Republic, Batch 3	1840	2016	65%	U.S.A.	3.5		Domincan Republic
Batch	Brazil	1868	2016	70%	U.S.A.	3.75		Brazil
Batch	Ecuador	1880	2016	65%	U.S.A.	3.25		Ecuador
Beehive	Brazil, Batch 20316	1784	2016	80%	U.S.A.	2.75		Brazil
Beehive	Dominican Republic, Batch 31616	1784	2016	70%	U.S.A.	2.75		Domincan Republic
Beehive	Ecuador, Batch 31516	1784	2016	70%	U.S.A.	2.75		Ecuador
Beehive	Ecuador	1788	2016	90%	U.S.A.	2.75		Ecuador
Belcolade	Costa Rica	586	2010	64%	Belgium	2.75		Costa Rica
Belcolade	Papua New Guinea	586	2010	64%	Belgium	2.75		Papua New Guinea
Belcolade	Peru	586	2010	64%	Belgium	2.75		Peru
Belcolade	Ecuador	586	2010	71%	Belgium	3.5		Ecuador
Bellflower	Kakao Kamili, Kilombero Valley	1800	2016	70%	U.S.A.	3.5	Criollo, Trinitario	Tanzania
Bellflower	Alto Beni, Palos Blanco	1804	2016	70%	U.S.A.	3.25		Bolivia
Bellflower	Oko Caribe, Duarte P.	1864	2016	70%	U.S.A.	3.5		Domincan Republic
Benoit Nihant	Baracoa	1141	2013	74%	Belgium	3.5	Trinitario	Cuba
Benoit Nihant	Chuao	1141	2013	74%	Belgium	3.5	Criollo	Venezuela
Benoit Nihant	Cuyagua Village	1141	2013	74%	Belgium	3.5	Criollo	Venezuela
Benoit Nihant	Rio Peripa H.	1141	2013	73%	Belgium	4.0	Trinitario	Ecuador
Benoit Nihant	Bali, Sukrama Bros. Farm, Melaya, 62hr C	757	2011	72%	Belgium	4.0	Trinitario	Indonesia
Benoit Nihant	Somia Plantation, Sambirano, 70hr C	773	2011	72%	Belgium	3.75	Trinitario	Madagascar
Beschle (Felchlin)	Madagascar	636	2011	64%	Switzerland	3.0	Trinitario	Madagascar
Beschle (Felchlin)	Maracaibo	636	2011	88%	Switzerland	3.0	Criollo	Venezuela
Beschle (Felchlin)	Indigena Amazonia, Grand Cru, Quizas	636	2011	72%	Switzerland	3.5		Venezuela
Beschle (Felchlin)	Ecuador	636	2011	72%	Switzerland	4.0		Ecuador
Beschle (Felchlin)	Carenero S., Barlovento, Grand Cru	508	2010	70%	Switzerland	3.25	Trinitario	Venezuela
Beschle (Felchlin)	Porcelana, Premier Cru, Quizas No. 1	508	2010	74%	Switzerland	3.25	Criollo (Porcelana)	Venezuela
Beschle (Felchlin)	Java, Grand Cru	508	2010	64%	Switzerland	3.5		Indonesia
Beschle (Felchlin)	Ocumare, Premier Cru, Quizas No. 2	508	2010	72%	Switzerland	3.5		Venezuela
Bisou	Nicaragua, American style	1482	2015	76%	U.S.A.	2.5		Nicaragua
Bisou	San Andres, American style	1486	2015	76%	U.S.A.	2.5		Costa Rica
Bisou	San Andres, silk	1486	2015	78%	U.S.A.	2.5		Costa Rica
Bisou	Belize	1486	2015	86%	U.S.A.	3.25	Trinitario	Belize
Bittersweet Origins	Ghana	963	2012	72%	U.S.A.	3.5	Forastero	Ghana
Bittersweet Origins	Bali, Singaraja	478	2010	75%	U.S.A.	3.25		Indonesia
Bittersweet Origins	2009 Hapa Nibby	502	2010	70%	U.S.A.	3.75	Blend	Dominican Rep., Bali
Bittersweet Origins	Bali, Singaraja	558	2010	65%	U.S.A.	2.75		Indonesia
Bittersweet Origins	Sambirano, 2009	565	2010	70%	U.S.A.	3.0	Trinitario	Madagascar
Bittersweet Origins	Ocumare, prototype	565	2010	78%	U.S.A.	3.0	Criollo	Venezuela
Bittersweet Origins	Puerto Plata	414	2009	75%	U.S.A.	3.0		Dominican Republic
Bittersweet Origins	Puerto Plata	414	2009	65%	U.S.A.	3.5		Dominican Republic
Bittersweet Origins	Sambirano	423	2009	75%	U.S.A.	3.25	Trinitario	Madagascar
Bittersweet Origins	Sambirano	431	2009	65%	U.S.A.	3.5	Trinitario	Madagascar
Bittersweet Origins	Sambirano	233	2008	71%	U.S.A.	3.0	Trinitario	Madagascar
Bittersweet Origins	Bocas del Toro	233	2008	75%	U.S.A.	3.5		Panama
Bittersweet Origins	Puerto Plata	233	2008	68%	U.S.A.	3.75		Dominican Republic
Bittersweet Origins	Ankasa	256	2008	70%	U.S.A.	3.0	Forastero	Ghana
Black Mountain	La Red	256	2008	70%	U.S.A.	2.75		Dominican Republic
Black Mountain	Carenero Superior	256	2008	70%	U.S.A.	2.75	Trinitario	Venezuela
Black Mountain	Matiguas	256	2008	70%	U.S.A.	3.0		Nicaragua
Blue Bandana	Akesson's E., Sambirano V.	1740	2016	82%	U.S.A.	3.5	Trinitario	Madagascar
Blue Bandana	Lachua	1752	2016	75%	U.S.A.	2.75		Guatemala
Blue Bandana	Kokoa Kamili	1752	2016	75%	U.S.A.	3.5		Tanzania
Blue Bandana	Zorzal Reserva	1756	2016	75%	U.S.A.	3.0		Dominican Republic
Blue Bandana	Guatemala	911	2012	70%	U.S.A.	3.5		Guatemala
Blue Bandana	Madagascar	911	2012	70%	U.S.A.	3.75	Trinitario	Madagascar
Bowler Man	Maya Mountain	1267	2014	70%	U.S.A.	2.75	Trinitario	Belize
Bowler Man	Conacado	1271	2014	70%	U.S.A.	2.75		Dominican Republic
Brasstown aka It's Chocolate	Guasare, Zulia Prov.	1868	2016	70%	U.S.A.	3.5	Criollo	Venezuela
Brasstown aka It's Chocolate	O'payo, Waslala	1868	2016	70%	U.S.A.	3.75		Nicaragua
Brasstown aka It's Chocolate	Conacado	1462	2015	68%	U.S.A.	3.75		Dominican Republic
Brasstown aka It's Chocolate	Maya Mountain	1255	2014	70%	U.S.A.	3.75	Trinitario	Belize
Brasstown aka It's Chocolate	Chuao	1355	2014	70%	U.S.A.	4.0	Trinitario	Venezuela
Brasstown aka It's Chocolate	Cooproagro	1125	2013	72%	U.S.A.	3.0	Trinitario	Dominican Republic
Brasstown aka It's Chocolate	Camino Verde, Guayas	1125	2013	70%	U.S.A.	3.25		Ecuador
Brasstown aka It's Chocolate	Ghana	1129	2013	75%	U.S.A.	3.5	Forastero	Ghana
Brasstown aka It's Chocolate	Chuao, Mantuano blend	1129	2013	85%	U.S.A.	3.5	Trinitario	Venezuela
Brazen	Elvesia P.	1514	2015	60%	U.S.A.	3.0		Dominican Republic
Brazen	Elvesia P.	1514	2015	80%	U.S.A.	3.25		Dominican Republic
Brazen	Alta Verapaz, 2014	1514	2015	70%	U.S.A.	3.5		Guatemala
Brazen	Ambolikapiky P.	1518	2015	80%	U.S.A.	2.75		Madagascar
Brazen	Maya Mountain	1518	2015	80%	U.S.A.	3.25	Trinitario	Belize
Brazen	Ambolikapkly P.	1518	2015	60%	U.S.A.	3.25		Madagascar
Breeze Mill	Jamaica	1149	2013	70%	U.S.A.	3.0	Trinitario	Jamaica
Bronx Grrl Chocolate	Dominican Republic	1181	2013	68%	U.S.A.	2.75		Dominican Republic
Burnt Fork Bend	Trinidad	1299	2014	72%	U.S.A.	3.25	Trinitario	Trinidad
Burnt Fork Bend	Mindo	1299	2014	72%	U.S.A.	3.5		Ecuador
Burnt Fork Bend	Belize	1303	2014	72%	U.S.A.	3.25	Trinitario	Belize
Burnt Fork Bend	Blend	1303	2014	72%	U.S.A.	3.25	Blend
Burnt Fork Bend	Ecuador, Bob Bar	1323	2014	60%	U.S.A.	2.5		Ecuador
Cacao Atlanta	Tumbes	1215	2014	75%	U.S.A.	2.5	Criollo	Peru
Cacao Atlanta	"Dominican Republic, ""Love Bar"""	502	2010	75%	U.S.A.	2.5		Dominican Republic
Cacao Atlanta	Dominican Republic w/ nibs	502	2010	75%	U.S.A.	2.75		Dominican Republic
Cacao Atlanta	Patanemo	600	2010	75%	U.S.A.	2.25		Venezuela
Cacao Market	Jutiapa, lot 050916D	1860	2016	70%	U.S.A.	3.5	Trinitario	Honduras
Cacao Prieto	Criollo, Dominican Republic	991	2012	72%	U.S.A.	3.75	Criollo	Dominican Republic
Cacao Prieto	Dominican Republicm, rustic	641	2011	72%	U.S.A.	3.0		Dominican Republic
Cacao Prieto	Dominican Republic	641	2011	66%	U.S.A.	3.75		Dominican Republic
Cacao Prieto	Dominican Republic, rustic	647	2011	65%	U.S.A.	3.25		Dominican Republic
Cacaosuyo (Theobroma Inversiones)	Piura	1173	2013	70%	Peru	3.25		Peru
Callebaut	Grenade	296	2008	60%	Belgium	2.75	Trinitario	Grenada
Callebaut	Baking	141	2007	70%	Belgium	1.0		Ecuador
Cao	Porcelana	1804	2016	75%	U.S.A.	2.5	Criollo	Venezuela
Cao	Tanzania	1804	2016	73%	U.S.A.	2.75		Tanzania
Cao	Porcelana, Batch 5163	1804	2016	70%	U.S.A.	3.0	Criollo	Venezuela
Cao	Bolivia	1808	2016	75%	U.S.A.	3.0		Bolivia
Cao	Brazil	1808	2016	70%	U.S.A.	3.25	Trinitario	Brazil
Castronovo	Maya Mtn, Batch 454, Heirloom	1724	2016	72%	U.S.A.	4.0	Trinitario	Belize
Castronovo	the lost city, gracias a dias, batch 362	1570	2015	72%	U.S.A.	3.5	Trinitario	Honduras
Castronovo	Duarte, Batch 360	1570	2015	70%	U.S.A.	3.75	Criollo, Trinitario	Domincan Republic
Castronovo	Piaroa, Amazonas, Batch 350	1574	2015	72%	U.S.A.	3.5		Venezuela
Castronovo	Sierra Nevada	1347	2014	72%	U.S.A.	3.5	Criollo, Trinitario	Colombia
Castronovo	Arauca	1371	2014	76%	U.S.A.	3.5	Criollo, Trinitario	Colombia
Castronovo	Elvesia P.	1407	2014	70%	U.S.A.	2.75	Trinitario	Dominican Republic
Castronovo	Bolivia	1101	2013	70%	U.S.A.	3.0	Trinitario	Bolivia
Castronovo	Conacado	1101	2013	73%	U.S.A.	3.5	Trinitario	Dominican Republic
Castronovo	San Martin	1105	2013	70%	U.S.A.	2.5	Criollo	Peru
Castronovo	Guaniamo, Amazonas	1105	2013	70%	U.S.A.	3.25		Venezuela
Castronovo	Nicaragua	1109	2013	72%	U.S.A.	3.25	Trinitario	Nicaragua
Castronovo	Tumbes	1153	2013	70%	U.S.A.	2.75	Criollo	Peru
Castronovo	Guaniamo	1153	2013	72%	U.S.A.	3.0		Venezuela
Cello	Ecuador	1247	2014	70%	U.S.A.	2.5		Ecuador
Cello	Peru	1247	2014	70%	U.S.A.	2.75		Peru
Cello	Venezuela	1251	2014	70%	U.S.A.	2.75		Venezuela
Cello	Bolivia	1251	2014	70%	U.S.A.	3.0		Bolivia
Chaleur B	Uganda	1426	2014	70%	Canada	2.75	Forastero	Uganda
Charm School	Maya Mtn	1900	2016	70%	U.S.A.	3.25		Belize
Chequessett	la Amistad	1235	2014	70%	U.S.A.	3.5		Costa Rica
Chocola'te	Madagascar	647	2011	70%	U.S.A.	3.75	Trinitario	Madagascar
Chocola'te	Venezuela	647	2011	68%	U.S.A.	3.75		Venezuela
Chocolate Alchemist-Philly	"Tumbes, ""Zarumilla"""	1772	2016	90%	U.S.A.	2.5		Peru
Chocolate Alchemist-Philly	Philly Blend, 5 plantations	1772	2016	80%	U.S.A.	2.5
Chocolate Con Amor	Wild Bolivian	1760	2016	70%	U.S.A.	2.5		Bolivia
Chocolate Con Amor	Uganda	1760	2016	70%	U.S.A.	2.75		Uganda
Chocolate Con Amor	Dominican Republic	1764	2016	60%	U.S.A.	3.0		Dominican Republic
Chocolate Con Amor	Dominican Republic	1764	2016	75%	U.S.A.	3.0		Dominican Republic
Chocolate Con Amor	Ocumare	1764	2016	80%	U.S.A.	3.0	Criollo (Ocumare)	Venezuela
Chocolate Con Amor	Ecuador	1764	2016	70%	U.S.A.	3.25		Ecuador
Chocolate Con Amor	Nicaragua	1768	2016	80%	U.S.A.	2.75		Nicaragua
Chocolate Conspiracy	Peru	1259	2014	74%	U.S.A.	2.75		Peru
Chocolats Privilege	Xoconusco	1219	2014	70%	Canada	2.5	Criollo	Mexico
Chocosol	Chiapas, Lacandon Jungle, Oaxacom Mtn	682	2011	65%	Canada	3.25		Mexico
Chocovivo	Tabasco	1522	2015	65%	U.S.A.	2.5	Trinitario	Mexico
Chocovivo	Tabasco	1522	2015	75%	U.S.A.	2.5	Trinitario	Mexico
Choklat	Ocumare	377	2009	80%	Canada	2.5	Criollo	Venezuela
Choklat	Porcelana, Tabasco	377	2009	70%	Canada	2.75	Criollo	Mexico
Choklat	Brazilian	377	2009	70%	Canada	3.0		Brazil
Choklat	Brazilian	377	2009	80%	Canada	3.0		Brazil
Choklat	Ocumare	377	2009	70%	Canada	3.0	Criollo	Venezuela
Choocsol	Chiapas, Lacandon Jungle, Oaxacom Mtn	1832	2016	75%	Canada	3.25		Mexico
Christopher Morel (Felchlin)	Maranon Canyon, Fortunato No. 4	666	2011	68%	Canada	3.75	Forastero (Nacional)	Peru
Chuao Chocolatier	Choroni	445	2009	61%	U.S.A.	3.0	Criollo	Venezuela
Chuao Chocolatier (Pralus)	Chuao	486	2010	77%	U.S.A.	2.75	Trinitario	Venezuela
Cloudforest	Camino Verde P., Balao, Guayas, 2014	1486	2015	73%	U.S.A.	3.5		Ecuador
Coleman & Davis	Sambirano	1646	2015	75%	U.S.A.	3.0	Trinitario	Madagascar
Condor	Camino Verde	1630	2015	76%	U.S.A.	3.5		Ecuador
Confluence	Tien Giang, 2015, batch 10-2-16	1916	2016	78%	U.S.A.	2.75	Trinitario	Vietnam
Cote d' Or (Kraft)	Sensations Intense	48	2006	70%	Belgium	1.0
Creo	"""heirloom"", Arriba Nacional"	1736	2016	85%	U.S.A.	3.25	Forastero (Nacional)	Ecuador
Creo	"""heirloom"", Arriba Nacional"	1736	2016	73%	U.S.A.	3.75	Forastero (Nacional)	Ecuador
Dalloway	Dominican Republic, batch 7	1928	2017	72%	U.S.A.	2.75		Dominican Republic
Dandelion	Zorzal Reserva, 2015 H., Kerchner	1816	2016	70%	U.S.A.	3.75
Dandelion	Maya Mtn., Break Bar- Snark	1446	2015	70%	U.S.A.	3.0	Trinitario	Belize
Dandelion	Maya Mountain	1219	2014	70%	U.S.A.	3.5	Trinitario	Belize
Dandelion	Camino Verde P., Balao, Guayas, 2013	1295	2014	70%	U.S.A.	3.5		Ecuador
Dandelion	Buto	1303	2014	70%	U.S.A.	2.75		Liberia
Dandelion	San Francisco de Macoris, Cibao region	1387	2014	70%	U.S.A.	3.75		Dominican Republic
Dandelion	Cumboto, farmer Jose Lugo	1026	2013	70%	U.S.A.	2.75		Venezuela
Dandelion	Patanemo	1026	2013	70%	U.S.A.	3.25		Venezuela
Dandelion	Mantuano, 2012	1085	2013	70%	U.S.A.	3.5		Venezuela
Dandelion	Papua New Guinea	1153	2013	70%	U.S.A.	3.5		Papua New Guinea
Dandelion	Upala	805	2012	70%	U.S.A.	3.0		Costa Rica
Dandelion	Colombian	805	2012	70%	U.S.A.	3.25		Colombia
Dandelion	Elvesia, 2011	915	2012	70%	U.S.A.	3.75		Dominican Republic
Dandelion	Dominican Republic	654	2011	70%	U.S.A.	3.25		Dominican Republic
Dandelion	Madagascar	654	2011	70%	U.S.A.	3.25	Trinitario	Madagascar
Dandelion	Tanzania	654	2011	70%	U.S.A.	3.25		Tanzania
DAR	Venezuela, batch 122	1920	2016	72%	U.S.A.	2.75		Venezuela
DAR	Vietnam	1920	2016	72%	U.S.A.	3.0	Trinitario	Vietnam
DAR	DUO, batch 002	1920	2016	70%	U.S.A.	3.25		Ecuador, Costa Rica
Dark Forest	Bolivia	1708	2016	75%	U.S.A.	3.25		Bolivia
Dark Forest	Madagascar	1550	2015	70%	U.S.A.	3.0	Trinitario	Madagascar
Dark Forest	Ocumare	1550	2015	70%	U.S.A.	3.25		Venezuela
Dark Forest	Tanzania	1554	2015	70%	U.S.A.	3.0		Tanzania
Dark Forest	Ecuador	1554	2015	70%	U.S.A.	3.25		Ecuador
Davis	Ghana	1093	2013	70%	U.S.A.	2.5	Forastero	Ghana
Davis	Rainforest	1093	2013	70%	U.S.A.	2.75		Dominican Republic
Davis	Venezuela	1093	2013	70%	U.S.A.	2.75		Venezuela
Davis	West Africa	907	2012	58%	U.S.A.	3.25	Forastero	West Africa
Dean and Deluca (Belcolade)	Madagascar	170	2007	66%	U.S.A.	2.5	Trinitario	Madagascar
Dean and Deluca (Belcolade)	Costa Rica	175	2007	64%	U.S.A.	3.0		Costa Rica
Dean and Deluca (Belcolade)	Ecuador	175	2007	71%	U.S.A.	3.0		Ecuador
Dean and Deluca (Belcolade)	Ghana	175	2007	60%	U.S.A.	3.0	Forastero	Ghana
Dean and Deluca (Belcolade)	Papua New Guinea	180	2007	64%	U.S.A.	3.0		Papua New Guinea
Dean and Deluca (Belcolade)	Peru	180	2007	64%	U.S.A.	3.0		Peru
Desbarres	Kilombero, batch 41	1916	2016	72%	Canada	2.5		Tanzania
DeVries	Bolivian	241	2008	80%	U.S.A.	2.75		Bolivia
DeVries	Costa Rica	166	2007	77%	U.S.A.	3.5	Trinitario	Costa Rica
DeVries	Dominican Republic	166	2007	77%	U.S.A.	3.5		Dominican Republic
Dick Taylor	Lanquin Estate	1952	2017	70%	U.S.A.	3.75		Guatemala
Dick Taylor	Tien Giang	1864	2016	78%	U.S.A.	3.5	Trinitario	Vietnam
Dick Taylor	Alto Beni, Wild Harvest, Limited Ed.	1634	2015	70%	U.S.A.	3.75		Bolivia
Dick Taylor	Elvesia	1235	2014	74%	U.S.A.	3.5		Dominican Republic
Dick Taylor	Ecuador, Choc. Garage Exclusive	1034	2013	70%	U.S.A.	3.25		Ecuador
Dick Taylor	Camino Verde	1193	2013	76%	U.S.A.	3.5		Ecuador
Dick Taylor	Bolivia	895	2012	75%	U.S.A.	2.75		Bolivia
Dick Taylor	Belize	955	2012	72%	U.S.A.	2.75	Trinitario	Belize
Dick Taylor	Sambirano	661	2011	80%	U.S.A.	2.75	Trinitario	Madagascar
Dick Taylor	Sambirano	661	2011	72%	U.S.A.	3.0	Trinitario	Madagascar
Dick Taylor	Mantuano	682	2011	75%	U.S.A.	2.75	Criollo	Venezuela
Dick Taylor	La Red	769	2011	74%	U.S.A.	3.0		Dominican Republic
Dick Taylor	Ecuador	769	2011	70%	U.S.A.	3.25		Ecuador
Dole (Guittard)	O'ahu, N. Shore, Waialua Estate	311	2009	70%	U.S.A.	3.75		Hawaii
Dolfin (Belcolade)	Africa	304	2008	88%	Belgium	3.0	Forastero	West Africa
Dolfin (Belcolade)	Noir	63	2006	70%	Belgium	1.5
Dulcinea	Dominican Republic	1506	2015	70%	U.S.A.	3.25		Dominican Republic
Durci	Maranon, Joya Rara	1626	2015	70%	U.S.A.	3.5	Forastero (Nacional)	Peru
Durci	Rio Caribe, Tepui Treasure	1626	2015	70%	U.S.A.	3.5	Trinitario	Venezuela
Durci	Taino Secret	1630	2015	70%	U.S.A.	3.25		Domincan Republic
Durci	Carenero, Empyrean Sabor	1630	2015	70%	U.S.A.	3.25	Trinitario	Venezuela
Durci	Corona Arriba	1630	2015	70%	U.S.A.	4.0		Ecuador
East Van Roasters	Peru	1343	2014	70%	Canada	3.25		Peru
East Van Roasters	Madagascar	1343	2014	70%	Canada	3.5	Trinitario	Madagascar
East Van Roasters	Dominican Republic	1343	2014	70%	Canada	3.75		Dominican Republic
Eau de Rose	Tumaco	1812	2016	70%	Canada	3.25		Colombia
Eau de Rose	Arauca	1812	2016	70%	Canada	3.25		Colombia
Eclat (Felchlin)	Maranon, Good & Evil, w/ nibs	919	2012	72%	U.S.A.	2.75	Forastero (Nacional)	Peru
ENNA	Wampusirpi, batch 007	1916	2016	75%	U.S.A.	3.25		Honduras
Escazu	Rio Caribe	903	2012	70%	U.S.A.	2.75	Trinitario	Venezuela
Escazu	Guapiles	414	2009	65%	U.S.A.	2.0		Costa Rica
Escazu	Carenero Superior	423	2009	81%	U.S.A.	3.5	Criollo	Venezuela
Escazu	Carenero, Guapiles, Ocumare blend	431	2009	74%	U.S.A.	2.75		Cost Rica, Ven
Escazu	Ocumare	252	2008	72%	U.S.A.	3.0	Criollo	Venezuela
Ethel's Artisan (Mars)	Peru, Madagascar	666	2011	55%	U.S.A.	2.5		Peru, Madagascar
Ethel's Artisan (Mars)	Trinidad	666	2011	55%	U.S.A.	2.5	Trinitario	Trinidad
Ethel's Artisan (Mars)	Porcelana	666	2011	70%	U.S.A.	2.5	Criollo (Porcelana)	Venezuela
Ethel's Artisan (Mars)	Red Vanilla	666	2011	62%	U.S.A.	2.75
Ethel's Artisan (Mars)	Venezuela, Trinidad	672	2011	62%	U.S.A.	2.5		Venezuela, Trinidad
Ethereal	Belize	1275	2014	80%	U.S.A.	3.0	Trinitario	Belize
Ethereal	Ecuador	1275	2014	80%	U.S.A.	3.5		Ecuador
Ethereal	Dominican Republic	1275	2014	80%	U.S.A.	3.75		Dominican Republic
Fearless (AMMA)	Monte Alegre, D. Badaro, Raw, Organic	565	2010	75%	U.S.A.	2.75		Brazil
Felchlin	Grenada	494	2010	58%	Switzerland	3.5	Trinitario	Grenada
Felchlin	Supremo- SF	105	2006	62%	Switzerland	2.0
Felchlin	Elvesia P.	105	2006	74%	Switzerland	3.0	Trinitario, Criollo	Dominican Republic
Felchlin	Madagascar, Grand Cru	48	2006	64%	Switzerland	3.0	Criollo	Madagascar
Felchlin	Maracaibo Clasificado	48	2006	65%	Switzerland	3.0	Criollo	Venezuela
Felchlin	Arriba	48	2006	72%	Switzerland	3.5	Forastero (Arriba)	Ecuador
Felchlin	Alto Beni, Cru Savage	56	2006	68%	Switzerland	4.0	Criollo (Wild)	Bolivia
Finca	Puerto Rico	1283	2014	65%	U.S.A.	2.25		Puerto Rico
Finca	Dominican Republic	1283	2014	80%	U.S.A.	3.0		Dominican Republic
Finca	Dominican Republic	1283	2014	70%	U.S.A.	3.25		Dominican Republic
Finca	Dominican Republic	1287	2014	85%	U.S.A.	2.5		Dominican Republic
Frederic Blondeel	Costa Rica	1538	2015	70%	Belgium	3.5		Costa Rica
