class,age,sex,survived
2nd,33.0,female,1
2nd,32.0,male,1
2nd,26.0,female,1
2nd,30.0,male,0
2nd,24.0,female,1
2nd,18.0,male,0
3rd,42.0,male,0
3rd,13.0,male,0
3rd,16.0,male,0
3rd,35.0,female,1
3rd,16.0,female,1
3rd,25.0,male,1
3rd,18.0,female,1
3rd,20.0,male,1
3rd,30.0,male,0
3rd,26.0,male,0
3rd,40.0,female,0
3rd,24.0,male,0
3rd,41.0,male,0
3rd,18.0,female,1
3rd,0.83,male,1
3rd,23.0,male,0
3rd,20.0,male,0
3rd,25.0,male,0
3rd,35.0,male,0
3rd,17.0,male,0
3rd,32.0,male,0
3rd,20.0,male,0
3rd,39.0,male,0
3rd,39.0,female,0
3rd,6.0,female,0
3rd,2.0,female,0
3rd,17.0,female,1
3rd,38.0,female,0
3rd,9.0,female,0
3rd,26.0,male,0
3rd,11.0,female,0
3rd,4.0,male,0
3rd,20.0,male,0
3rd,26.0,male,0
3rd,25.0,male,0
3rd,18.0,female,0
3rd,24.0,male,0
3rd,35.0,male,0
3rd,40.0,male,0
3rd,38.0,female,1
3rd,5.0,male,0
3rd,9.0,male,0
3rd,3.0,male,1
3rd,13.0,male,0
3rd,23.0,male,1
3rd,5.0,female,1
3rd,45.0,female,1
3rd,23.0,male,0
3rd,17.0,female,0
3rd,27.0,male,0
3rd,23.0,male,0
3rd,20.0,male,0
3rd,32.0,male,0
3rd,33.0,female,1
3rd,3.0,female,1
3rd,18.0,female,1
3rd,40.0,male,0
3rd,26.0,male,0
3rd,15.0,female,1
3rd,45.0,female,0
3rd,18.0,female,0
3rd,27.0,female,0
3rd,22.0,male,0
3rd,19.0,male,0
3rd,26.0,male,0
3rd,22.0,male,0
3rd,20.0,male,0
3rd,32.0,male,1
3rd,21.0,male,0
3rd,18.0,male,0
3rd,26.0,male,0
3rd,6.0,male,0
3rd,9.0,female,0
3rd,40.0,male,0
3rd,32.0,female,0
3rd,26.0,male,0
3rd,18.0,female,1
3rd,20.0,female,0
3rd,29.0,male,0
3rd,22.0,male,0
3rd,22.0,male,0
3rd,35.0,male,0
3rd,21.0,male,1
3rd,20.0,female,0
3rd,19.0,male,0
3rd,18.0,female,0
3rd,18.0,male,0
3rd,38.0,male,0
3rd,30.0,male,0
3rd,17.0,male,0
3rd,21.0,female,0
3rd,21.0,male,0
3rd,21.0,male,0
3rd,24.0,male,0
3rd,33.0,male,0
3rd,33.0,male,0
3rd,28.0,male,0
3rd,16.0,female,1
3rd,37.0,female,0
3rd,28.0,male,0
3rd,24.0,male,0
3rd,21.0,male,0
3rd,32.0,male,0
3rd,29.0,male,0
3rd,26.0,male,0
3rd,18.0,male,0
3rd,20.0,male,0
3rd,19.0,male,1
3rd,24.0,male,0
3rd,24.0,male,0
3rd,36.0,male,0
3rd,31.0,male,0
3rd,31.0,male,0
3rd,30.0,female,0
3rd,22.0,female,1
3rd,43.0,male,0
3rd,35.0,male,0
3rd,27.0,male,0
3rd,19.0,male,0
3rd,30.0,male,0
3rd,36.0,female,1
3rd,3.0,male,1
3rd,9.0,male,1
3rd,59.0,male,0
3rd,19.0,male,0
3rd,44.0,male,0
3rd,17.0,female,1
3rd,45.0,male,1
3rd,22.0,female,0
3rd,19.0,male,0
3rd,29.0,male,1
3rd,30.0,female,1
3rd,34.0,male,0
3rd,28.0,female,0
3rd,0.33,male,0
3rd,27.0,male,0
3rd,25.0,male,0
3rd,24.0,male,0
3rd,22.0,male,0
3rd,21.0,male,0
3rd,17.0,male,0
3rd,26.0,male,0
3rd,33.0,female,1
3rd,1.0,male,1
3rd,0.17,female,1
3rd,25.0,male,0
3rd,36.0,male,1
3rd,36.0,female,1
3rd,30.0,male,1
3rd,23.0,male,0
3rd,26.0,male,0
3rd,19.0,female,1
3rd,65.0,male,0
3rd,42.0,male,0
3rd,43.0,male,0
3rd,32.0,male,0
3rd,19.0,male,1
3rd,30.0,female,1
3rd,24.0,female,0
3rd,23.0,female,1
3rd,24.0,female,1
3rd,24.0,male,1
3rd,23.0,male,0
3rd,22.0,female,1
3rd,18.0,male,0
3rd,16.0,male,0
3rd,45.0,male,0
3rd,47.0,male,0
3rd,5.0,female,1
3rd,21.0,female,0
3rd,18.0,male,0
3rd,9.0,female,0
3rd,48.0,female,0
3rd,16.0,male,0
3rd,25.0,male,0
3rd,38.0,female,1
3rd,22.0,male,0
3rd,16.0,female,1
3rd,33.0,male,0
3rd,9.0,male,1
3rd,41.0,male,0
3rd,38.0,male,0
3rd,40.0,male,0
3rd,43.0,female,0
3rd,14.0,male,0
3rd,16.0,female,0
3rd,9.0,male,0
3rd,10.0,female,0
3rd,6.0,male,0
3rd,11.0,male,0
3rd,40.0,male,0
3rd,32.0,male,0
3rd,20.0,male,0
3rd,37.0,male,0
3rd,28.0,male,0
3rd,19.0,male,0
3rd,24.0,female,0
3rd,17.0,female,0
3rd,28.0,male,0
3rd,24.0,female,1
3rd,20.0,male,0
3rd,41.0,male,0
3rd,45.0,female,1
3rd,26.0,male,0
3rd,21.0,male,0
3rd,27.0,male,1
3rd,18.0,female,0
3rd,26.0,female,1
3rd,23.0,female,0
3rd,22.0,female,1
3rd,28.0,female,0
3rd,22.0,female,1
3rd,2.0,female,0
3rd,43.0,male,0
3rd,27.0,female,1
3rd,42.0,male,0
3rd,27.0,female,0
3rd,25.0,female,0
3rd,27.0,male,1
3rd,19.0,female,1
3rd,20.0,male,0
3rd,48.0,male,0
3rd,17.0,male,0
3rd,34.0,male,0
3rd,22.0,male,0
3rd,33.0,male,0
3rd,32.0,male,1
3rd,29.0,male,0
3rd,26.0,male,1
3rd,49.0,male,0
3rd,1.0,female,1
3rd,33.0,male,0
3rd,4.0,male,1
3rd,24.0,female,0
3rd,19.0,male,0
3rd,32.0,male,1
3rd,27.0,male,0
3rd,21.0,female,0
3rd,32.0,male,1
3rd,20.0,female,0
3rd,17.0,male,0
3rd,21.0,male,0
3rd,30.0,male,0
3rd,21.0,male,1
3rd,23.0,male,0
3rd,22.0,male,0
3rd,4.0,female,1
3rd,39.0,male,0
3rd,20.0,male,0
3rd,21.0,female,1
3rd,44.0,male,0
3rd,42.0,male,0
3rd,21.0,female,1
3rd,24.0,male,0
3rd,25.0,male,0
3rd,22.0,male,0
3rd,22.0,male,0
3rd,39.0,male,1
3rd,26.0,female,0
3rd,4.0,female,1
3rd,22.0,female,0
3rd,26.0,male,0
3rd,1.5,female,0
3rd,36.0,female,0
3rd,18.0,male,0
3rd,25.0,male,1
3rd,37.0,female,0
3rd,22.0,female,1
3rd,20.0,male,0
3rd,26.0,male,1
3rd,29.0,male,0
3rd,29.0,male,0
3rd,22.0,male,0
3rd,32.0,male,0
3rd,21.0,male,0
3rd,21.0,female,0
3rd,36.0,male,0
3rd,39.0,male,0
3rd,25.0,female,0
3rd,45.0,female,0
3rd,36.0,male,0
3rd,30.0,female,0
3rd,20.0,male,1
3rd,23.0,female,0
3rd,21.0,male,0
3rd,1.5,female,0
3rd,25.0,male,1
3rd,18.0,female,1
3rd,63.0,female,1
3rd,18.0,female,0
3rd,31.0,male,0
3rd,31.0,female,0
3rd,15.0,male,0
3rd,28.0,male,0
3rd,36.0,male,0
3rd,28.0,male,0
3rd,10.0,female,0
3rd,36.0,male,0
3rd,30.0,female,0
3rd,22.0,male,1
3rd,29.0,male,0
3rd,47.0,male,0
3rd,14.0,female,0
3rd,22.0,male,0
3rd,51.0,male,0
3rd,18.0,male,0
3rd,45.0,female,1
3rd,28.0,male,0
3rd,21.0,male,0
3rd,27.0,male,0
3rd,36.0,male,0
3rd,27.0,male,0
3rd,15.0,female,1
3rd,27.0,male,0
3rd,26.0,male,0
3rd,22.0,male,0
3rd,24.0,male,0
3rd,29.0,male,0
